neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
Pleasant View,43.78025,-79.32878000000001,Private room,33,1,9,358
Pleasant View,43.7797,-79.32882,Private room,24,7,5,1
Waterfront Communities-The Island,43.63711,-79.39728000000001,Entire home/apt,189,28,3,114
Church-Yonge Corridor,43.653009999999995,-79.37899,Entire home/apt,160,2,8,259
Mimico (includes Humber Bay Shores),43.62393,-79.48803000000001,Entire home/apt,89,5,6,164
Little Portugal,43.65188,-79.4324,Entire home/apt,99,2,118,84
Palmerston-Little Italy,43.65806,-79.42713,Private room,102,7,11,328
Newtonbrook West,43.78345,-79.44525,Private room,117,1,0,358
Niagara,43.6381,-79.41828000000001,Entire home/apt,150,365,180,0
Wychwood,43.68016,-79.42653,Entire home/apt,162,3,77,0
Woodbine Corridor,43.66838,-79.31300999999999,Entire home/apt,160,2,1,0
Dovercourt-Wallace Emerson-Junction,43.66342,-79.42836,Entire home/apt,200,5,10,0
Kensington-Chinatown,43.65043,-79.39693,Entire home/apt,274,2,214,157
Playter Estates-Danforth,43.67773,-79.36126999999999,Entire home/apt,175,1,67,257
Blake-Jones,43.67514,-79.34263,Private room,41,3,68,319
South Parkdale,43.63807,-79.44431,Private room,50,5,20,197
Palmerston-Little Italy,43.660270000000004,-79.40998,Private room,65,13,22,1
Waterfront Communities-The Island,43.64352,-79.38145,Entire home/apt,150,1,619,267
Blake-Jones,43.67058,-79.34093,Entire home/apt,90,3,42,26
Blake-Jones,43.67302,-79.34111,Entire home/apt,89,6,40,151
Waterfront Communities-The Island,43.64353,-79.38231,Entire home/apt,130,30,11,179
Casa Loma,43.6779,-79.41008000000001,Entire home/apt,183,4,29,0
Greenwood-Coxwell,43.6828,-79.32503,Entire home/apt,269,5,7,30
Regent Park,43.65747,-79.35645,Entire home/apt,160,183,10,197
Flemingdon Park,43.721070000000005,-79.33604,Private room,40,2,27,223
South Riverdale,43.66491,-79.3355,Entire home/apt,87,30,22,324
Church-Yonge Corridor,43.65435,-79.37952,Entire home/apt,170,2,10,258
Waterfront Communities-The Island,43.64585,-79.39164,Entire home/apt,177,4,58,66
Waterfront Communities-The Island,43.6395,-79.38056,Entire home/apt,160,5,0,348
Waterfront Communities-The Island,43.64651,-79.39433000000001,Private room,65,1,36,0
Waterfront Communities-The Island,43.64465,-79.3898,Entire home/apt,295,21,7,352
Playter Estates-Danforth,43.67985,-79.36058,Entire home/apt,83,14,8,287
South Riverdale,43.666990000000006,-79.33757,Entire home/apt,72,7,69,322
Little Portugal,43.64587,-79.43386,Entire home/apt,79,1,146,326
Waterfront Communities-The Island,43.64354,-79.39046,Entire home/apt,97,2,196,60
Dufferin Grove,43.6513,-79.43749,Private room,101,1,1,364
Rosedale-Moore Park,43.68509,-79.38388,Entire home/apt,135,3,15,0
Humewood-Cedarvale,43.683890000000005,-79.42578,Entire home/apt,98,120,23,135
Waterfront Communities-The Island,43.6453,-79.39092,Hotel room,159,4,36,70
Mimico (includes Humber Bay Shores),43.62641,-79.47662,Entire home/apt,201,25,15,78
Trinity-Bellwoods,43.649190000000004,-79.40623000000001,Private room,60,3,127,121
Banbury-Don Mills,43.7264,-79.3268,Private room,50,7,7,342
Dovercourt-Wallace Emerson-Junction,43.667229999999996,-79.43208,Entire home/apt,124,28,171,273
Annex,43.669509999999995,-79.41674,Entire home/apt,61,3,25,0
Trinity-Bellwoods,43.65352,-79.41543,Private room,75,1,87,65
Waterfront Communities-The Island,43.641999999999996,-79.39623,Entire home/apt,189,28,10,51
Church-Yonge Corridor,43.66788,-79.38559000000001,Entire home/apt,140,180,0,256
East End-Danforth,43.682629999999996,-79.29767,Entire home/apt,105,7,3,0
Niagara,43.638000000000005,-79.41735,Entire home/apt,150,5,9,147
Waterfront Communities-The Island,43.64441,-79.39311,Entire home/apt,121,90,20,282
East End-Danforth,43.68142,-79.30519,Entire home/apt,65,3,32,328
Waterfront Communities-The Island,43.64374,-79.37916,Entire home/apt,249,1,6,0
Willowdale East,43.766709999999996,-79.40468,Entire home/apt,87,21,20,246
Dovercourt-Wallace Emerson-Junction,43.665420000000005,-79.42109,Entire home/apt,250,3,55,121
Humewood-Cedarvale,43.684470000000005,-79.4232,Private room,70,1,143,106
Niagara,43.634009999999996,-79.41465,Entire home/apt,101,5,16,71
Waterfront Communities-The Island,43.644220000000004,-79.3897,Entire home/apt,140,7,71,82
Waterfront Communities-The Island,43.648070000000004,-79.37416999999999,Entire home/apt,200,180,78,357
Palmerston-Little Italy,43.65521,-79.41654,Private room,45,1,151,266
Dufferin Grove,43.65803,-79.43175,Entire home/apt,135,5,6,348
Willowdale West,43.7723,-79.41779,Entire home/apt,41,1,0,0
Palmerston-Little Italy,43.65785,-79.42024,Entire home/apt,121,2,0,0
Dovercourt-Wallace Emerson-Junction,43.6723,-79.44161,Entire home/apt,85,30,24,161
Woodbine Corridor,43.668,-79.31430999999999,Entire home/apt,175,14,1,289
Moss Park,43.655429999999996,-79.37106,Entire home/apt,189,28,22,180
Niagara,43.64248,-79.4053,Entire home/apt,85,2,438,240
Waterfront Communities-The Island,43.64156,-79.38024,Entire home/apt,185,2,491,346
Bayview Village,43.76814,-79.37983,Entire home/apt,150,28,4,41
Willowdale East,43.761179999999996,-79.40863,Entire home/apt,101,1,0,0
East End-Danforth,43.68157,-79.30515,Entire home/apt,75,4,30,322
Oakwood Village,43.68305,-79.43522,Entire home/apt,79,14,117,72
Dovercourt-Wallace Emerson-Junction,43.664190000000005,-79.42354,Entire home/apt,89,2,195,21
Little Portugal,43.650909999999996,-79.43511,Private room,75,2,34,350
East End-Danforth,43.68226,-79.30685,Entire home/apt,69,4,24,327
Little Portugal,43.650659999999995,-79.43346,Entire home/apt,180,5,19,269
Palmerston-Little Italy,43.65801,-79.41931,Entire home/apt,90,28,161,190
Annex,43.672270000000005,-79.4145,Private room,140,1,6,249
Niagara,43.63662,-79.40539,Entire home/apt,101,3,2,365
Danforth East York,43.689609999999995,-79.33502,Private room,50,2,22,218
Palmerston-Little Italy,43.66146,-79.40985,Private room,56,30,15,26
South Riverdale,43.65695,-79.34761999999999,Private room,50,1,33,160
Scarborough Village,43.732929999999996,-79.22099,Private room,78,3,0,362
Roncesvalles,43.64367,-79.44319,Entire home/apt,245,2,27,317
Moss Park,43.65724,-79.35642,Entire home/apt,142,7,53,223
Dovercourt-Wallace Emerson-Junction,43.67153,-79.43930999999999,Entire home/apt,75,2,272,347
Annex,43.67347,-79.40323000000001,Private room,72,28,3,89
Yorkdale-Glen Park,43.70541,-79.4435,Entire home/apt,175,5,1,256
North Riverdale,43.67635,-79.35515,Entire home/apt,101,2,4,0
The Beaches,43.67329,-79.28268,Entire home/apt,228,14,34,317
Palmerston-Little Italy,43.65728,-79.42626,Private room,98,3,14,272
Waterfront Communities-The Island,43.64143,-79.39638000000001,Entire home/apt,160,2,212,333
Little Portugal,43.64866,-79.42446,Entire home/apt,121,5,26,219
Little Portugal,43.6489,-79.42545,Entire home/apt,101,5,25,178
Islington-City Centre West,43.63753,-79.53539,Private room,56,7,5,225
Kensington-Chinatown,43.65425,-79.40399000000001,Private room,170,1,68,365
Kensington-Chinatown,43.65408,-79.40216,Private room,95,1,94,365
South Riverdale,43.66434,-79.34093,Entire home/apt,180,3,15,255
South Riverdale,43.66305,-79.33233,Private room,46,3,26,78
Roncesvalles,43.64546,-79.44156,Private room,56,2,24,73
Niagara,43.642109999999995,-79.41044000000001,Entire home/apt,95,7,11,256
Waterfront Communities-The Island,43.64631,-79.3944,Private room,65,1,52,0
Kensington-Chinatown,43.65623,-79.3986,Entire home/apt,79,1,364,114
Lawrence Park South,43.72247,-79.40353,Private room,70,3,29,359
Dovercourt-Wallace Emerson-Junction,43.67089,-79.42165,Entire home/apt,225,4,5,348
Cabbagetown-South St.James Town,43.66514,-79.36964,Entire home/apt,185,3,18,325
Church-Yonge Corridor,43.66483,-79.38388,Private room,101,1,133,292
High Park-Swansea,43.65351,-79.45461,Entire home/apt,205,3,20,317
Niagara,43.63673,-79.40567,Entire home/apt,109,7,2,320
Waterfront Communities-The Island,43.640240000000006,-79.39315,Entire home/apt,159,180,54,349
Rosedale-Moore Park,43.6715,-79.38517,Entire home/apt,170,1,3,348
Little Portugal,43.64815,-79.43502,Entire home/apt,175,3,28,50
South Parkdale,43.64051,-79.42426,Entire home/apt,150,3,77,335
Waterfront Communities-The Island,43.64114,-79.39519,Entire home/apt,199,14,18,172
Wychwood,43.68023,-79.42381999999999,Entire home/apt,128,15,0,365
Trinity-Bellwoods,43.64781,-79.41748,Entire home/apt,111,3,67,217
Cabbagetown-South St.James Town,43.6649,-79.37369,Private room,60,7,110,266
Parkwoods-Donalda,43.75561,-79.33476999999999,Entire home/apt,295,3,5,17
Playter Estates-Danforth,43.67803,-79.36119000000001,Entire home/apt,66,3,15,255
Waterfront Communities-The Island,43.638090000000005,-79.39833,Entire home/apt,179,28,8,76
Church-Yonge Corridor,43.66677,-79.38155,Entire home/apt,101,3,39,9
Bay Street Corridor,43.66818,-79.38866,Entire home/apt,240,5,66,77
Humewood-Cedarvale,43.69324,-79.43451999999999,Entire home/apt,200,5,11,0
High Park-Swansea,43.636390000000006,-79.47013000000001,Entire home/apt,150,1,12,73
Waterfront Communities-The Island,43.63912,-79.38349000000001,Entire home/apt,90,1,294,1
Dovercourt-Wallace Emerson-Junction,43.665,-79.42224,Entire home/apt,101,2,58,134
Roncesvalles,43.64314,-79.43236,Entire home/apt,60,1,0,0
Junction Area,43.66711,-79.46453000000001,Entire home/apt,73,365,5,365
Yonge-St.Clair,43.68827,-79.39990999999999,Private room,69,3,49,256
East End-Danforth,43.67828,-79.3096,Entire home/apt,90,7,60,23
East End-Danforth,43.68345,-79.29434,Entire home/apt,119,3,17,286
High Park-Swansea,43.65098,-79.45784,Entire home/apt,75,300,83,269
Dufferin Grove,43.65303,-79.43885999999999,Entire home/apt,118,14,4,0
The Beaches,43.67287,-79.28535,Entire home/apt,109,4,86,225
Taylor-Massey,43.69982,-79.2946,Private room,45,1,134,59
